listing_id,title,category,price_fcfa,currency,neighborhood,city_region,bedrooms,surface_m2,date_posted_raw,url
6784432,Villa R+2 mamelles,Maisons à vendre,140000000.0,XOF,Mamelles,Dakar,5.0,150.0,"7. juil., 16:04",https://www.expat-dakar.com/annonce/villa-r2-mamelles-6784432
6784427,Villa de 155m2 à Guediawaye,Maisons à vendre,65000000.0,XOF,Guediawaye,Dakar,5.0,155.0,"7. juil., 15:22",https://www.expat-dakar.com/annonce/villa-de-155m2-a-guediawaye-6784427
6783558,Villa à vendre à Ngaparou,Maisons à vendre,199000000.0,XOF,Ngaparou,Thiès,4.0,975.0,"7. juil., 07:15",https://www.expat-dakar.com/annonce/villa-a-vendre-a-ngaparou-6783558
6692384,Villa neuve meublée de 500m2 à vendre à Mboro,Maisons à vendre,49500000.0,XOF,Mboro,Thiès,6.0,500.0,"29. avr., 20:52",https://www.expat-dakar.com/annonce/villa-neuve-meublee-de-500m2-a-vendre-a-mboro-6692384
6498681,Magnifique VILLA A VENDRE AU MAMEL,Maisons à vendre,250000000.0,XOF,Mamelles,Dakar,8.0,160.0,"6. juil., 11:44",https://www.expat-dakar.com/annonce/magnifique-villa-a-vendre-au-mamel-6498681
6774355,Magnifique villa à vendre Saly Center,Maisons à vendre,200000000.0,XOF,Saly,Thiès,3.0,467.0,"5. juil., 11:02",https://www.expat-dakar.com/annonce/magnifique-villa-a-vendre-saly-center-6774355
6767006,Belle Maison Face à la Mer à Mboro,Maisons à vendre,15000000.0,XOF,Mboro,Thiès,3.0,350.0,"3. juil., 16:06",https://www.expat-dakar.com/annonce/belle-maison-face-a-la-mer-a-mboro-6767006
6779729,Immeuble R+2 à vendre,Maisons à vendre,210000000.0,XOF,Mermoz,Dakar,8.0,150.0,"2. juil., 18:17",https://www.expat-dakar.com/annonce/immeuble-r2-a-vendre-6779729
6779208,A VENDRE 350 M2  TF A POINT E,Maisons à vendre,350000000.0,XOF,Point-e,Dakar,5.0,350.0,"2. juil., 09:31",https://www.expat-dakar.com/annonce/a-vendre-350-m2-tf-a-point-e-6779208
6779140,A VENDRE 1100 M2 TF A FANN RESIDENCE,Maisons à vendre,1900000000.0,XOF,Fann,Dakar,6.0,1100.0,"2. juil., 08:59",https://www.expat-dakar.com/annonce/a-vendre-1100-m2-tf-a-fann-residence-6779140
6778602,VILLA R+4 À VENDRE À OUEST FOIRE,Maisons à vendre,400000000.0,XOF,Ouest foire,Dakar,9.0,158.0,"2. juil., 11:04",https://www.expat-dakar.com/annonce/villa-r4-a-vendre-a-ouest-foire-6778602
6779299,Immeuble à vendre sur la Vdn (en face Siège Pds),Maisons à vendre,1800000000.0,XOF,VDN,Dakar,5.0,250.0,"2. juil., 11:00",https://www.expat-dakar.com/annonce/immeuble-a-vendre-sur-la-vdn-en-face-siege-pds-6779299
6778725,A VENDRE UNE ANCIENNE VILLA DE 329 M2 A BAOBAB,Maisons à vendre,275000000.0,XOF,Sicap baobab,Dakar,5.0,329.0,"2. juil., 02:02",https://www.expat-dakar.com/annonce/a-vendre-une-ancienne-villa-de-329-m2-a-baobab-6778725
6778691,Villa de Prestige avec Vue Mer à Yoff Virage,Maisons à vendre,799500000.0,XOF,Yoff,Dakar,5.0,500.0,"1. juil., 21:17",https://www.expat-dakar.com/annonce/villa-de-prestige-avec-vue-mer-a-yoff-virage-6778691
6778688,Villa à vendre à Saly,Maisons à vendre,299500000.0,XOF,Mbour,Thiès,3.0,600.0,"1. juil., 20:57",https://www.expat-dakar.com/annonce/villa-a-vendre-a-saly-6778688
6635128,VENTE VILLA RESIDENTIELLE À SALY,Maisons à vendre,350000000.0,XOF,Saly Portudal,Thiès,5.0,1463.0,"1. juil., 13:53",https://www.expat-dakar.com/annonce/vente-villa-residentielle-a-saly-6635128
6601777,Opportunité pieds dans l’eau,Maisons à vendre,700000000.0,XOF,Virage,Dakar,7.0,500.0,"30. juin, 20:10",https://www.expat-dakar.com/annonce/opportunite-pieds-dans-leau-6601777
6776008,Maison à vendre sur Dakar,Maisons à vendre,46000000.0,XOF,Niague,Dakar,3.0,150.0,"30. juin, 15:55",https://www.expat-dakar.com/annonce/maison-a-vendre-sur-dakar-6776008
6637526,Immeuble R+3 à vendre,Maisons à vendre,195000000.0,XOF,Mbao,Dakar,5.0,250.0,"30. juin, 15:32",https://www.expat-dakar.com/annonce/immeuble-r3-a-vendre-6637526
6777375,MAISON à VENDRE à NGOR VIRAGE,Maisons à vendre,400000000.0,XOF,VDN,Dakar,4.0,246.0,"30. juin, 15:09",https://www.expat-dakar.com/annonce/maison-a-vendre-a-ngor-virage-6777375
6541974,Magnifique villa avec piscine a Ngaparou,Maisons à vendre,130535000.0,XOF,Ngaparou,Thiès,4.0,600.0,"30. juin, 12:25",https://www.expat-dakar.com/annonce/magnifique-villa-avec-piscine-a-ngaparou-6541974
6720371,Villa à vendre à Ngaparou,Maisons à vendre,247000000.0,XOF,Ngaparou,Thiès,3.0,700.0,"30. juin, 10:40",https://www.expat-dakar.com/annonce/villa-a-vendre-a-ngaparou-6720371
6776763,SALY : Splendide Villa Meublée de 198 m² proche Mer à vendre,Maisons à vendre,120000000.0,XOF,Saly,Thiès,3.0,198.0,"30. juin, 09:05",https://www.expat-dakar.com/annonce/saly-splendide-villa-meublee-de-198-m2-proche-mer-a-vendre-6776763
6776555,Villa à vendre à Popenguine,Maisons à vendre,159500000.0,XOF,Popenguine,Thiès,6.0,300.0,"30. juin, 07:39",https://www.expat-dakar.com/annonce/villa-a-vendre-a-popenguine-6776555
6543774,Villa Fann Résidence,Maisons à vendre,1700000000.0,XOF,Fann,Dakar,3.0,968.0,"29. juin, 17:55",https://www.expat-dakar.com/annonce/villa-fann-residence-6543774
6772316,Ref_6243_GL  Villa  à vendre au Point E,Maisons à vendre,700000000.0,XOF,Point-e,Dakar,4.0,250.0,"29. juin, 16:50",https://www.expat-dakar.com/annonce/ref-6243-gl-villa-a-vendre-au-point-e-6772316
6667465,Maison à vendre  Kaolack ( superficie 200 m²),Maisons à vendre,15000000.0,XOF,Kaolack,Kaolack,6.0,200.0,"29. juin, 15:55",https://www.expat-dakar.com/annonce/maison-a-vendre-kaolack-superficie-200-m2-6667465
6768578,Villa à vendre,Maisons à vendre,50000000.0,XOF,Médina,Dakar,3.0,122.0,"29. juin, 13:24",https://www.expat-dakar.com/annonce/villa-a-vendre-6768578
6773581,Villa basse à vendre,Maisons à vendre,65000000.0,XOF,Dakar,Dakar,3.0,150.0,"29. juin, 12:12",https://www.expat-dakar.com/annonce/villa-basse-a-vendre-6773581
6774608,Maison 2 étages sécurisée avec balcon à Dakar,Maisons à vendre,60000000.0,XOF,Bambilor,Dakar,4.0,251.0,"mardi, 13:41",https://www.expat-dakar.com/annonce/maison-2-etages-securisee-avec-balcon-a-dakar-6774608
6729379,Villa à vendre Sypres 2,Maisons à vendre,285000000.0,XOF,VDN,Dakar,5.0,250.0,"25. juin, 21:37",https://www.expat-dakar.com/annonce/villa-a-vendre-sypres-2-6729379
